Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
080686353409,Liqueurs,1,0,n,n,Dekuyper Peppermint,750ml,,n,1,1,968,n,,0,,,,,,n,,,,,,,
080686354406,Liquor,1,1199,n,n,Dekuyper peppermint,750 ml,n,n,1,1,868,n,,0,,,,,,n,,,,,,,
080686356202,Liquor,1,1299,n,n,Dekuyper Razzmatazz,1.5 L,n,n,1,1,1099,n,,0,,,,,,n,,,,,,,
080686356400,Liquor,1,1199,n,n,Dekuyper razzmatazz,750,,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686363019,Liquor,1,529,n,n,DEKUYPER TRIPLE SEC 375ML,375ML,n,n,0,1,376,n,,0,,,,,,n,,,,,,,
080686363125,Cocktail,1,1789,n,n,DEKUYPER TRIPLE SEC 48 PET,1.75LT,,n,1,1,1374,n,,6,,,,,,n,,,,,,,
080686363200,Cocktail,1,849,n,n,DEKUYPER TRIPLE SEC 48,1LT,,n,1,1,650,n,,12,,,,,,n,,,,,,,
080686363408,Liqueurs,1,0,n,n,Dekyuper Triple sec,1,,n,1,1,625,n,,0,,,,,,n,,,,,,,
080686365204,Liquor,1,1387,n,n,Dekuyper Peachtree,1L,n,n,1,1,1067,n,,3,,,,,,n,,,,,,,
080686365402,Liquor,1,999,n,n,Dekuyper Peach Tree,1,n,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686365600,Liquor,1,699,n,n,Dekuyper Peachtree,375ml,n,n,0,1,445,n,,0,,,,,,n,,,,,,,
080686373209,Liqueurs,1,0,n,n,Hot Damn,1L,,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686373407,Liquor,1,999,n,n,"DeKuyper:Hot Damn!, Hot Cinnamon Schnapps",750.00 ML,n,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686374206,Liquor,1,1583,n,n,De Kuyper Hot Damn,1L,n,n,1,1,1218,n,,3,,,,,,n,,,,,,,
080686374404,Liquor,1,1699,n,n,Dekuyper Hot Damn,750 ml,n,n,1,1,868,n,,0,,,,,,n,,,,,,,
080686374602,Liquor,1,619,n,n,Dekuyper Hot Damn 100 Proof 375ml,,n,n,0,1,467,n,,0,,,,,,n,,,,,,,
080686395201,Liqueurs,1,1387,n,n,Dekuyper Sour Apple,750 ml,n,n,1,1,1067,n,,3,,,,,0,n,,,,,,,
080686395409,Liquor,1,1199,n,n,Dekuyper Sour Apple Pucker,750ml,n,n,1,1,749,n,,0,,,,,,n,,,,,,,
080686396208,Liqueurs,1,1387,n,n,DKYPR WTRMLN 1L,1L,n,n,1,1,1067,n,,3,,,,,0,n,,,,,,,
080686396406,Liquor,1,1199,n,n,Dekuyper Watermelon Pucker,750ML,n,n,1,1,766,n,,0,,,,,,n,,,,,,,
080686409403,Alcohol,1,3059,n,n,114Old Grand-Dad,750ML,n,n,1,1,2350,n,,3,,,,,,n,,,,,,,
080686418078,Whiskey,1,0,n,n,Old Grand Dad,750 ml,,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686418092,Alcohol,1,3999,n,n,OLD GRAND DAD BOURBON 80,1.75LT,,n,1,1,3075,n,,3,,,,,,n,,,,,,,
080686507123,Whiskey,1,2019,n,n,OLD CROW STRAIGHT BOURBON 80 PET,1.75LT,,n,1,1,1550,n,,6,,,,,,n,,,,,,,
080686760405,Liqueurs,1,4842,n,n,EL TESORO,750 ML,n,n,1,1,3725,n,,3,,,,,,n,,,,,,,
080686761402,Liqueurs,1,7659,n,n,ELTESORO ANEJO,750ml,n,n,1,1,5892,n,,0,,,,,,n,,,,,,,
080686762409,Liqueurs,1,5709,n,n,EL TESORO REPOSADO,750ml,n,n,1,1,4392,n,,3,,,,,,n,,,,,,,
080686813019,Whiskey,1,6209,n,n,Laphroaig 10yr,750 ml,n,n,1,1,4775,n,,3,,,,,,n,,,,,,,
080686821021,Whiskey(Canadian),1,0,n,n,CANADIAN CLUB,1 LITER,,n,1,1,1799,n,,0,,,,,,n,,,,,,,
080686821052,Alcohol,1,1339,n,n,Canadia club 1858,750 ML,n,n,1,1,1034,n,,3,,,,,,n,,,,,,,
080686821120,Whiskey,1,2079,n,n,Canadian Club 1858 Org.,1.75LT,n,n,1,1,1602,n,,6,,,,,,n,,,,,,,
080686821434,Whiskey(Canadian),1,0,n,n,Canadian Club_,750ML,,n,1,1,913,n,,0,,,,,,n,,,,,,,
080686821601,Alcohol,1,899,n,n,Canadian Club Whisky,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
080686823711,Whiskey,1,4489,n,n,Canadian club 12yr,1.75L,n,n,1,1,3450,n,,3,,,,,,n,,,,,,,
